time,latitud,longitud,Ts_Valor,CodigoNacional,nombreEstacion
1950-01-01 12:00:00,-33.445,-70.68278,18.6,330020.0,"Quinta Normal, Santiago"
1950-01-01 18:00:00,-33.445,-70.68278,26.4,330020.0,"Quinta Normal, Santiago"
1950-01-01 23:00:00,-33.445,-70.68278,23.5,330020.0,"Quinta Normal, Santiago"
1950-01-02 12:00:00,-33.445,-70.68278,14.3,330020.0,"Quinta Normal, Santiago"
1950-01-02 18:00:00,-33.445,-70.68278,25.6,330020.0,"Quinta Normal, Santiago"
1950-01-02 23:00:00,-33.445,-70.68278,22.8,330020.0,"Quinta Normal, Santiago"
1950-01-03 12:00:00,-33.445,-70.68278,13.6,330020.0,"Quinta Normal, Santiago"
1950-01-03 18:00:00,-33.445,-70.68278,24.2,330020.0,"Quinta Normal, Santiago"
1950-01-03 23:00:00,-33.445,-70.68278,23.0,330020.0,"Quinta Normal, Santiago"
1950-01-04 12:00:00,-33.445,-70.68278,14.0,330020.0,"Quinta Normal, Santiago"
1950-01-04 18:00:00,-33.445,-70.68278,27.6,330020.0,"Quinta Normal, Santiago"
1950-01-04 23:00:00,-33.445,-70.68278,24.5,330020.0,"Quinta Normal, Santiago"
1950-01-05 12:00:00,-33.445,-70.68278,17.4,330020.0,"Quinta Normal, Santiago"
1950-01-05 18:00:00,-33.445,-70.68278,27.2,330020.0,"Quinta Normal, Santiago"
1950-01-05 23:00:00,-33.445,-70.68278,22.5,330020.0,"Quinta Normal, Santiago"
1950-01-06 12:00:00,-33.445,-70.68278,18.0,330020.0,"Quinta Normal, Santiago"
1950-01-06 18:00:00,-33.445,-70.68278,29.6,330020.0,"Quinta Normal, Santiago"
1950-01-06 23:00:00,-33.445,-70.68278,24.6,330020.0,"Quinta Normal, Santiago"
1950-01-07 12:00:00,-33.445,-70.68278,17.6,330020.0,"Quinta Normal, Santiago"
1950-01-07 18:00:00,-33.445,-70.68278,28.8,330020.0,"Quinta Normal, Santiago"
1950-01-07 23:00:00,-33.445,-70.68278,25.0,330020.0,"Quinta Normal, Santiago"
1950-01-08 12:00:00,-33.445,-70.68278,19.2,330020.0,"Quinta Normal, Santiago"
1950-01-08 18:00:00,-33.445,-70.68278,27.2,330020.0,"Quinta Normal, Santiago"
1950-01-08 23:00:00,-33.445,-70.68278,22.5,330020.0,"Quinta Normal, Santiago"
1950-01-09 12:00:00,-33.445,-70.68278,15.6,330020.0,"Quinta Normal, Santiago"
1950-01-09 18:00:00,-33.445,-70.68278,24.9,330020.0,"Quinta Normal, Santiago"
1950-01-09 23:00:00,-33.445,-70.68278,25.0,330020.0,"Quinta Normal, Santiago"
1950-01-10 12:00:00,-33.445,-70.68278,17.6,330020.0,"Quinta Normal, Santiago"
1950-01-10 18:00:00,-33.445,-70.68278,27.9,330020.0,"Quinta Normal, Santiago"
1950-01-10 23:00:00,-33.445,-70.68278,26.0,330020.0,"Quinta Normal, Santiago"
1950-01-11 12:00:00,-33.445,-70.68278,19.4,330020.0,"Quinta Normal, Santiago"
1950-01-11 18:00:00,-33.445,-70.68278,30.2,330020.0,"Quinta Normal, Santiago"
1950-01-11 23:00:00,-33.445,-70.68278,27.0,330020.0,"Quinta Normal, Santiago"
1950-01-12 12:00:00,-33.445,-70.68278,18.8,330020.0,"Quinta Normal, Santiago"
1950-01-12 18:00:00,-33.445,-70.68278,29.0,330020.0,"Quinta Normal, Santiago"
1950-01-12 23:00:00,-33.445,-70.68278,23.5,330020.0,"Quinta Normal, Santiago"
1950-01-13 12:00:00,-33.445,-70.68278,17.1,330020.0,"Quinta Normal, Santiago"
1950-01-13 18:00:00,-33.445,-70.68278,26.8,330020.0,"Quinta Normal, Santiago"
1950-01-13 23:00:00,-33.445,-70.68278,22.6,330020.0,"Quinta Normal, Santiago"
1950-01-14 12:00:00,-33.445,-70.68278,16.7,330020.0,"Quinta Normal, Santiago"
1950-01-14 18:00:00,-33.445,-70.68278,27.2,330020.0,"Quinta Normal, Santiago"
1950-01-14 23:00:00,-33.445,-70.68278,23.7,330020.0,"Quinta Normal, Santiago"
1950-01-15 12:00:00,-33.445,-70.68278,17.2,330020.0,"Quinta Normal, Santiago"
1950-01-15 18:00:00,-33.445,-70.68278,24.9,330020.0,"Quinta Normal, Santiago"
1950-01-15 23:00:00,-33.445,-70.68278,28.1,330020.0,"Quinta Normal, Santiago"
1950-01-16 12:00:00,-33.445,-70.68278,17.4,330020.0,"Quinta Normal, Santiago"
1950-01-16 18:00:00,-33.445,-70.68278,26.5,330020.0,"Quinta Normal, Santiago"
1950-01-16 23:00:00,-33.445,-70.68278,24.2,330020.0,"Quinta Normal, Santiago"
1950-01-17 12:00:00,-33.445,-70.68278,16.8,330020.0,"Quinta Normal, Santiago"
1950-01-17 18:00:00,-33.445,-70.68278,26.5,330020.0,"Quinta Normal, Santiago"
1950-01-17 23:00:00,-33.445,-70.68278,25.0,330020.0,"Quinta Normal, Santiago"
1950-01-18 12:00:00,-33.445,-70.68278,19.2,330020.0,"Quinta Normal, Santiago"
1950-01-18 18:00:00,-33.445,-70.68278,29.9,330020.0,"Quinta Normal, Santiago"
1950-01-18 23:00:00,-33.445,-70.68278,28.8,330020.0,"Quinta Normal, Santiago"
1950-01-19 12:00:00,-33.445,-70.68278,19.8,330020.0,"Quinta Normal, Santiago"
1950-01-19 18:00:00,-33.445,-70.68278,28.8,330020.0,"Quinta Normal, Santiago"
1950-01-19 23:00:00,-33.445,-70.68278,24.2,330020.0,"Quinta Normal, Santiago"
1950-01-20 12:00:00,-33.445,-70.68278,14.0,330020.0,"Quinta Normal, Santiago"
1950-01-20 18:00:00,-33.445,-70.68278,25.4,330020.0,"Quinta Normal, Santiago"
1950-01-20 23:00:00,-33.445,-70.68278,22.6,330020.0,"Quinta Normal, Santiago"
1950-01-21 12:00:00,-33.445,-70.68278,15.5,330020.0,"Quinta Normal, Santiago"
1950-01-21 18:00:00,-33.445,-70.68278,27.0,330020.0,"Quinta Normal, Santiago"
1950-01-21 23:00:00,-33.445,-70.68278,25.9,330020.0,"Quinta Normal, Santiago"
1950-01-22 12:00:00,-33.445,-70.68278,17.9,330020.0,"Quinta Normal, Santiago"
1950-01-22 18:00:00,-33.445,-70.68278,27.4,330020.0,"Quinta Normal, Santiago"
1950-01-22 23:00:00,-33.445,-70.68278,25.3,330020.0,"Quinta Normal, Santiago"
1950-01-23 12:00:00,-33.445,-70.68278,15.7,330020.0,"Quinta Normal, Santiago"
1950-01-23 18:00:00,-33.445,-70.68278,26.8,330020.0,"Quinta Normal, Santiago"
1950-01-23 23:00:00,-33.445,-70.68278,23.6,330020.0,"Quinta Normal, Santiago"
1950-01-24 12:00:00,-33.445,-70.68278,16.9,330020.0,"Quinta Normal, Santiago"
1950-01-24 18:00:00,-33.445,-70.68278,28.0,330020.0,"Quinta Normal, Santiago"
1950-01-24 23:00:00,-33.445,-70.68278,26.1,330020.0,"Quinta Normal, Santiago"
1950-01-25 12:00:00,-33.445,-70.68278,18.4,330020.0,"Quinta Normal, Santiago"
1950-01-25 18:00:00,-33.445,-70.68278,29.9,330020.0,"Quinta Normal, Santiago"
1950-01-25 23:00:00,-33.445,-70.68278,26.2,330020.0,"Quinta Normal, Santiago"
1950-01-26 12:00:00,-33.445,-70.68278,13.6,330020.0,"Quinta Normal, Santiago"
1950-01-26 18:00:00,-33.445,-70.68278,24.5,330020.0,"Quinta Normal, Santiago"
1950-01-26 23:00:00,-33.445,-70.68278,22.0,330020.0,"Quinta Normal, Santiago"
1950-01-27 12:00:00,-33.445,-70.68278,15.4,330020.0,"Quinta Normal, Santiago"
1950-01-27 18:00:00,-33.445,-70.68278,25.9,330020.0,"Quinta Normal, Santiago"
1950-01-27 23:00:00,-33.445,-70.68278,21.8,330020.0,"Quinta Normal, Santiago"
1950-01-28 12:00:00,-33.445,-70.68278,14.4,330020.0,"Quinta Normal, Santiago"
1950-01-28 18:00:00,-33.445,-70.68278,23.5,330020.0,"Quinta Normal, Santiago"
1950-01-28 23:00:00,-33.445,-70.68278,21.3,330020.0,"Quinta Normal, Santiago"
1950-01-29 12:00:00,-33.445,-70.68278,16.0,330020.0,"Quinta Normal, Santiago"
1950-01-29 18:00:00,-33.445,-70.68278,27.5,330020.0,"Quinta Normal, Santiago"
1950-01-29 23:00:00,-33.445,-70.68278,24.0,330020.0,"Quinta Normal, Santiago"
1950-01-30 12:00:00,-33.445,-70.68278,17.2,330020.0,"Quinta Normal, Santiago"
1950-01-30 18:00:00,-33.445,-70.68278,26.3,330020.0,"Quinta Normal, Santiago"
1950-01-30 23:00:00,-33.445,-70.68278,21.6,330020.0,"Quinta Normal, Santiago"
1950-01-31 12:00:00,-33.445,-70.68278,13.5,330020.0,"Quinta Normal, Santiago"
1950-01-31 18:00:00,-33.445,-70.68278,21.6,330020.0,"Quinta Normal, Santiago"
1950-01-31 23:00:00,-33.445,-70.68278,20.5,330020.0,"Quinta Normal, Santiago"
1950-02-01 12:00:00,-33.445,-70.68278,13.4,330020.0,"Quinta Normal, Santiago"
1950-02-01 18:00:00,-33.445,-70.68278,25.2,330020.0,"Quinta Normal, Santiago"
