time,latitud,longitud,dd_Valor,ff_Valor,VRB_Valor,CodigoNacional,nombreEstacion
2023-01-03 00:00:00,-18.35555,-70.34028,150.0,6.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 01:00:00,-18.35555,-70.34028,,2.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 02:00:00,-18.35555,-70.34028,200.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 03:00:00,-18.35555,-70.34028,,2.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 04:00:00,-18.35555,-70.34028,350.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 05:00:00,-18.35555,-70.34028,350.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 06:00:00,-18.35555,-70.34028,10.0,7.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 07:00:00,-18.35555,-70.34028,10.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 08:00:00,-18.35555,-70.34028,30.0,9.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 09:00:00,-18.35555,-70.34028,120.0,3.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 10:00:00,-18.35555,-70.34028,130.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 11:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 12:00:00,-18.35555,-70.34028,,2.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 13:00:00,-18.35555,-70.34028,,3.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 14:00:00,-18.35555,-70.34028,250.0,8.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 15:00:00,-18.35555,-70.34028,250.0,10.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 16:00:00,-18.35555,-70.34028,220.0,13.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 17:00:00,-18.35555,-70.34028,210.0,14.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 18:00:00,-18.35555,-70.34028,210.0,13.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 19:00:00,-18.35555,-70.34028,220.0,12.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 20:00:00,-18.35555,-70.34028,220.0,12.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 21:00:00,-18.35555,-70.34028,220.0,10.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 22:00:00,-18.35555,-70.34028,220.0,8.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 23:00:00,-18.35555,-70.34028,210.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 00:00:00,-18.35555,-70.34028,190.0,3.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 01:00:00,-18.35555,-70.34028,270.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 02:00:00,-18.35555,-70.34028,270.0,6.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 03:00:00,-18.35555,-70.34028,240.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 04:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 05:00:00,-18.35555,-70.34028,80.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 06:00:00,-18.35555,-70.34028,100.0,3.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 07:00:00,-18.35555,-70.34028,30.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 08:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 09:00:00,-18.35555,-70.34028,60.0,2.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 10:00:00,-18.35555,-70.34028,210.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 11:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 12:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 13:00:00,-18.35555,-70.34028,30.0,3.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 14:00:00,-18.35555,-70.34028,,2.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 15:00:00,-18.35555,-70.34028,230.0,10.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 16:00:00,-18.35555,-70.34028,220.0,11.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 17:00:00,-18.35555,-70.34028,210.0,10.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 18:00:00,-18.35555,-70.34028,220.0,11.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 19:00:00,-18.35555,-70.34028,200.0,12.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 20:00:00,-18.35555,-70.34028,200.0,12.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 21:00:00,-18.35555,-70.34028,200.0,9.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 22:00:00,-18.35555,-70.34028,200.0,8.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 23:00:00,-18.35555,-70.34028,200.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 00:00:00,-18.35555,-70.34028,190.0,3.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 01:00:00,-18.35555,-70.34028,,2.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 02:00:00,-18.35555,-70.34028,250.0,3.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 03:00:00,-18.35555,-70.34028,280.0,3.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 04:00:00,-18.35555,-70.34028,290.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 05:00:00,-18.35555,-70.34028,300.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 06:00:00,-18.35555,-70.34028,310.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 07:00:00,-18.35555,-70.34028,340.0,6.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 08:00:00,-18.35555,-70.34028,340.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 09:00:00,-18.35555,-70.34028,30.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 10:00:00,-18.35555,-70.34028,350.0,7.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 11:00:00,-18.35555,-70.34028,320.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 12:00:00,-18.35555,-70.34028,,1.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 13:00:00,-18.35555,-70.34028,230.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 14:00:00,-18.35555,-70.34028,,3.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 15:00:00,-18.35555,-70.34028,240.0,9.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 16:00:00,-18.35555,-70.34028,220.0,11.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 17:00:00,-18.35555,-70.34028,230.0,12.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 18:00:00,-18.35555,-70.34028,220.0,14.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 19:00:00,-18.35555,-70.34028,200.0,14.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 20:00:00,-18.35555,-70.34028,210.0,12.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 21:00:00,-18.35555,-70.34028,220.0,11.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 22:00:00,-18.35555,-70.34028,240.0,7.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 23:00:00,-18.35555,-70.34028,270.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 00:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 01:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 02:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 03:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 04:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 05:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 06:00:00,-18.35555,-70.34028,90.0,3.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 07:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 08:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 09:00:00,-18.35555,-70.34028,50.0,3.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 10:00:00,-18.35555,-70.34028,90.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 11:00:00,-18.35555,-70.34028,130.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 12:00:00,-18.35555,-70.34028,,1.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 13:00:00,-18.35555,-70.34028,,2.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 14:00:00,-18.35555,-70.34028,230.0,8.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 15:00:00,-18.35555,-70.34028,240.0,9.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 16:00:00,-18.35555,-70.34028,210.0,11.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 17:00:00,-18.35555,-70.34028,200.0,14.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 18:00:00,-18.35555,-70.34028,210.0,15.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 19:00:00,-18.35555,-70.34028,210.0,17.0,0.0,180005.0,"Chacalluta, Arica Ap."
