time,latitud,longitud,Td_Valor,CodigoNacional,nombreEstacion
1952-01-05 18:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-05 19:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-05 20:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-05 21:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-05 22:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-05 23:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 10:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1952-01-06 11:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 12:00:00,-34.96944,-71.21694,9.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 13:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 14:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 15:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 16:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 17:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 18:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 19:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 20:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 21:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 22:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-06 23:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1952-01-07 10:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
