time,latitud,longitud,TnAM,CodigoNacional,nombreEstacion
1956-02-25 12:00:00,-18.35555,-70.34028,13.0,180005.0,"Chacalluta, Arica Ap."
1956-02-26 12:00:00,-18.35555,-70.34028,15.1,180005.0,"Chacalluta, Arica Ap."
1956-02-27 12:00:00,-18.35555,-70.34028,15.1,180005.0,"Chacalluta, Arica Ap."
1956-02-28 12:00:00,-18.35555,-70.34028,15.8,180005.0,"Chacalluta, Arica Ap."
1956-02-29 12:00:00,-18.35555,-70.34028,16.8,180005.0,"Chacalluta, Arica Ap."
1956-03-01 12:00:00,-18.35555,-70.34028,17.0,180005.0,"Chacalluta, Arica Ap."
1956-03-02 12:00:00,-18.35555,-70.34028,15.7,180005.0,"Chacalluta, Arica Ap."
1956-03-03 12:00:00,-18.35555,-70.34028,16.2,180005.0,"Chacalluta, Arica Ap."
1956-03-04 12:00:00,-18.35555,-70.34028,15.5,180005.0,"Chacalluta, Arica Ap."
1956-03-05 12:00:00,-18.35555,-70.34028,15.9,180005.0,"Chacalluta, Arica Ap."
1956-03-06 12:00:00,-18.35555,-70.34028,16.2,180005.0,"Chacalluta, Arica Ap."
1956-03-07 12:00:00,-18.35555,-70.34028,15.0,180005.0,"Chacalluta, Arica Ap."
1956-03-08 12:00:00,-18.35555,-70.34028,15.0,180005.0,"Chacalluta, Arica Ap."
1956-03-09 12:00:00,-18.35555,-70.34028,15.5,180005.0,"Chacalluta, Arica Ap."
1956-03-10 12:00:00,-18.35555,-70.34028,15.0,180005.0,"Chacalluta, Arica Ap."
1956-03-11 12:00:00,-18.35555,-70.34028,15.4,180005.0,"Chacalluta, Arica Ap."
1956-03-12 12:00:00,-18.35555,-70.34028,18.0,180005.0,"Chacalluta, Arica Ap."
1956-03-13 12:00:00,-18.35555,-70.34028,13.6,180005.0,"Chacalluta, Arica Ap."
1956-03-14 12:00:00,-18.35555,-70.34028,13.5,180005.0,"Chacalluta, Arica Ap."
1956-03-15 12:00:00,-18.35555,-70.34028,13.9,180005.0,"Chacalluta, Arica Ap."
1956-03-16 12:00:00,-18.35555,-70.34028,13.9,180005.0,"Chacalluta, Arica Ap."
1956-03-17 12:00:00,-18.35555,-70.34028,14.0,180005.0,"Chacalluta, Arica Ap."
1956-03-18 12:00:00,-18.35555,-70.34028,14.7,180005.0,"Chacalluta, Arica Ap."
1956-03-19 12:00:00,-18.35555,-70.34028,14.0,180005.0,"Chacalluta, Arica Ap."
1956-03-20 12:00:00,-18.35555,-70.34028,13.2,180005.0,"Chacalluta, Arica Ap."
1956-03-21 12:00:00,-18.35555,-70.34028,14.4,180005.0,"Chacalluta, Arica Ap."
