time,latitud,longitud,HR_Valor,CodigoNacional,nombreEstacion
2022-01-01 01:00:00,-18.35555,-70.34028,77.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 02:00:00,-18.35555,-70.34028,78.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 03:00:00,-18.35555,-70.34028,77.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 04:00:00,-18.35555,-70.34028,77.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 05:00:00,-18.35555,-70.34028,77.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 06:00:00,-18.35555,-70.34028,75.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 07:00:00,-18.35555,-70.34028,71.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 08:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 09:00:00,-18.35555,-70.34028,69.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 10:00:00,-18.35555,-70.34028,71.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 11:00:00,-18.35555,-70.34028,73.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 12:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 13:00:00,-18.35555,-70.34028,65.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 14:00:00,-18.35555,-70.34028,60.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 15:00:00,-18.35555,-70.34028,57.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 16:00:00,-18.35555,-70.34028,56.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 17:00:00,-18.35555,-70.34028,59.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 18:00:00,-18.35555,-70.34028,53.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 19:00:00,-18.35555,-70.34028,60.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 20:00:00,-18.35555,-70.34028,63.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 21:00:00,-18.35555,-70.34028,60.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 22:00:00,-18.35555,-70.34028,62.0,180005.0,"Chacalluta, Arica Ap."
2022-01-01 23:00:00,-18.35555,-70.34028,67.0,180005.0,"Chacalluta, Arica Ap."
2022-01-02 00:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2022-01-02 01:00:00,-18.35555,-70.34028,71.0,180005.0,"Chacalluta, Arica Ap."
2022-01-02 02:00:00,-18.35555,-70.34028,72.0,180005.0,"Chacalluta, Arica Ap."
2022-01-02 03:00:00,-18.35555,-70.34028,73.0,180005.0,"Chacalluta, Arica Ap."
