time,latitud,longitud,HR_Valor,CodigoNacional,nombreEstacion
2023-01-03 08:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 09:00:00,-18.35555,-70.34028,66.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 10:00:00,-18.35555,-70.34028,73.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 11:00:00,-18.35555,-70.34028,72.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 12:00:00,-18.35555,-70.34028,62.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 13:00:00,-18.35555,-70.34028,59.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 14:00:00,-18.35555,-70.34028,56.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 15:00:00,-18.35555,-70.34028,53.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 16:00:00,-18.35555,-70.34028,61.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 17:00:00,-18.35555,-70.34028,55.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 18:00:00,-18.35555,-70.34028,58.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 19:00:00,-18.35555,-70.34028,58.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 20:00:00,-18.35555,-70.34028,63.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 21:00:00,-18.35555,-70.34028,63.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 22:00:00,-18.35555,-70.34028,65.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 23:00:00,-18.35555,-70.34028,65.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 00:00:00,-18.35555,-70.34028,65.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 01:00:00,-18.35555,-70.34028,68.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 02:00:00,-18.35555,-70.34028,75.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 03:00:00,-18.35555,-70.34028,79.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 04:00:00,-18.35555,-70.34028,79.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 05:00:00,-18.35555,-70.34028,74.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 06:00:00,-18.35555,-70.34028,68.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 07:00:00,-18.35555,-70.34028,73.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 08:00:00,-18.35555,-70.34028,73.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 09:00:00,-18.35555,-70.34028,68.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 10:00:00,-18.35555,-70.34028,69.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 11:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 12:00:00,-18.35555,-70.34028,62.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 13:00:00,-18.35555,-70.34028,56.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 14:00:00,-18.35555,-70.34028,50.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 15:00:00,-18.35555,-70.34028,57.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 16:00:00,-18.35555,-70.34028,60.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 17:00:00,-18.35555,-70.34028,53.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 18:00:00,-18.35555,-70.34028,57.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 19:00:00,-18.35555,-70.34028,62.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 20:00:00,-18.35555,-70.34028,62.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 21:00:00,-18.35555,-70.34028,56.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 22:00:00,-18.35555,-70.34028,59.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 23:00:00,-18.35555,-70.34028,64.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 00:00:00,-18.35555,-70.34028,66.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 01:00:00,-18.35555,-70.34028,65.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 02:00:00,-18.35555,-70.34028,69.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 03:00:00,-18.35555,-70.34028,69.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 04:00:00,-18.35555,-70.34028,69.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 05:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 06:00:00,-18.35555,-70.34028,68.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 07:00:00,-18.35555,-70.34028,66.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 08:00:00,-18.35555,-70.34028,66.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 09:00:00,-18.35555,-70.34028,64.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 10:00:00,-18.35555,-70.34028,60.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 11:00:00,-18.35555,-70.34028,60.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 12:00:00,-18.35555,-70.34028,57.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 13:00:00,-18.35555,-70.34028,55.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 14:00:00,-18.35555,-70.34028,47.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 15:00:00,-18.35555,-70.34028,52.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 16:00:00,-18.35555,-70.34028,53.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 17:00:00,-18.35555,-70.34028,46.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 18:00:00,-18.35555,-70.34028,47.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 19:00:00,-18.35555,-70.34028,51.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 20:00:00,-18.35555,-70.34028,55.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 21:00:00,-18.35555,-70.34028,55.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 22:00:00,-18.35555,-70.34028,56.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 23:00:00,-18.35555,-70.34028,57.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 00:00:00,-18.35555,-70.34028,57.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 01:00:00,-18.35555,-70.34028,57.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 02:00:00,-18.35555,-70.34028,60.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 03:00:00,-18.35555,-70.34028,64.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 04:00:00,-18.35555,-70.34028,64.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 05:00:00,-18.35555,-70.34028,58.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 06:00:00,-18.35555,-70.34028,58.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 07:00:00,-18.35555,-70.34028,59.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 08:00:00,-18.35555,-70.34028,60.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 09:00:00,-18.35555,-70.34028,63.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 10:00:00,-18.35555,-70.34028,63.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 11:00:00,-18.35555,-70.34028,67.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 12:00:00,-18.35555,-70.34028,60.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 13:00:00,-18.35555,-70.34028,55.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 14:00:00,-18.35555,-70.34028,57.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 15:00:00,-18.35555,-70.34028,56.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 16:00:00,-18.35555,-70.34028,63.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 17:00:00,-18.35555,-70.34028,60.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 18:00:00,-18.35555,-70.34028,61.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 19:00:00,-18.35555,-70.34028,59.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 20:00:00,-18.35555,-70.34028,66.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 21:00:00,-18.35555,-70.34028,68.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 22:00:00,-18.35555,-70.34028,73.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 23:00:00,-18.35555,-70.34028,74.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 00:00:00,-18.35555,-70.34028,77.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 01:00:00,-18.35555,-70.34028,78.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 02:00:00,-18.35555,-70.34028,76.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 03:00:00,-18.35555,-70.34028,74.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 04:00:00,-18.35555,-70.34028,74.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 05:00:00,-18.35555,-70.34028,77.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 06:00:00,-18.35555,-70.34028,78.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 07:00:00,-18.35555,-70.34028,72.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 08:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 09:00:00,-18.35555,-70.34028,69.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 10:00:00,-18.35555,-70.34028,79.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 11:00:00,-18.35555,-70.34028,82.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 12:00:00,-18.35555,-70.34028,73.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 13:00:00,-18.35555,-70.34028,66.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 14:00:00,-18.35555,-70.34028,57.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 15:00:00,-18.35555,-70.34028,63.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 16:00:00,-18.35555,-70.34028,60.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 17:00:00,-18.35555,-70.34028,62.0,180005.0,"Chacalluta, Arica Ap."
