time,latitud,longitud,TxPM,CodigoNacional,nombreEstacion
1968-01-02,-18.35555,-70.34028,25.8,180005.0,"Chacalluta, Arica Ap."
1968-01-03,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1968-01-04,-18.35555,-70.34028,23.3,180005.0,"Chacalluta, Arica Ap."
1968-01-05,-18.35555,-70.34028,25.2,180005.0,"Chacalluta, Arica Ap."
1968-01-06,-18.35555,-70.34028,25.4,180005.0,"Chacalluta, Arica Ap."
1968-01-07,-18.35555,-70.34028,25.6,180005.0,"Chacalluta, Arica Ap."
1968-01-08,-18.35555,-70.34028,25.4,180005.0,"Chacalluta, Arica Ap."
1968-01-09,-18.35555,-70.34028,26.4,180005.0,"Chacalluta, Arica Ap."
1968-01-10,-18.35555,-70.34028,26.4,180005.0,"Chacalluta, Arica Ap."
1968-01-11,-18.35555,-70.34028,25.8,180005.0,"Chacalluta, Arica Ap."
1968-01-12,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1968-01-13,-18.35555,-70.34028,26.4,180005.0,"Chacalluta, Arica Ap."
1968-01-14,-18.35555,-70.34028,25.6,180005.0,"Chacalluta, Arica Ap."
1968-01-15,-18.35555,-70.34028,27.0,180005.0,"Chacalluta, Arica Ap."
1968-01-16,-18.35555,-70.34028,25.6,180005.0,"Chacalluta, Arica Ap."
1968-01-17,-18.35555,-70.34028,26.4,180005.0,"Chacalluta, Arica Ap."
1968-01-18,-18.35555,-70.34028,25.6,180005.0,"Chacalluta, Arica Ap."
1968-01-19,-18.35555,-70.34028,27.4,180005.0,"Chacalluta, Arica Ap."
1968-01-20,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1968-01-21,-18.35555,-70.34028,27.0,180005.0,"Chacalluta, Arica Ap."
1968-01-22,-18.35555,-70.34028,25.5,180005.0,"Chacalluta, Arica Ap."
1968-01-23,-18.35555,-70.34028,26.8,180005.0,"Chacalluta, Arica Ap."
1968-01-24,-18.35555,-70.34028,26.9,180005.0,"Chacalluta, Arica Ap."
1968-01-25,-18.35555,-70.34028,27.0,180005.0,"Chacalluta, Arica Ap."
1968-01-26,-18.35555,-70.34028,27.7,180005.0,"Chacalluta, Arica Ap."
1968-01-27,-18.35555,-70.34028,27.2,180005.0,"Chacalluta, Arica Ap."
1968-01-28,-18.35555,-70.34028,25.8,180005.0,"Chacalluta, Arica Ap."
