time,latitud,longitud,Ts_Valor,CodigoNacional,nombreEstacion
1957-01-11 09:00:00,-18.35555,-70.34028,16.8,180005.0,"Chacalluta, Arica Ap."
1957-01-11 12:00:00,-18.35555,-70.34028,20.7,180005.0,"Chacalluta, Arica Ap."
1957-01-11 15:00:00,-18.35555,-70.34028,25.0,180005.0,"Chacalluta, Arica Ap."
1957-01-11 18:00:00,-18.35555,-70.34028,26.3,180005.0,"Chacalluta, Arica Ap."
1957-01-11 21:00:00,-18.35555,-70.34028,25.7,180005.0,"Chacalluta, Arica Ap."
1957-01-12 06:00:00,-18.35555,-70.34028,17.7,180005.0,"Chacalluta, Arica Ap."
1957-01-12 09:00:00,-18.35555,-70.34028,15.8,180005.0,"Chacalluta, Arica Ap."
1957-01-12 12:00:00,-18.35555,-70.34028,21.3,180005.0,"Chacalluta, Arica Ap."
1957-01-12 15:00:00,-18.35555,-70.34028,24.2,180005.0,"Chacalluta, Arica Ap."
1957-01-12 18:00:00,-18.35555,-70.34028,27.6,180005.0,"Chacalluta, Arica Ap."
1957-01-12 21:00:00,-18.35555,-70.34028,27.2,180005.0,"Chacalluta, Arica Ap."
1957-01-13 06:00:00,-18.35555,-70.34028,16.8,180005.0,"Chacalluta, Arica Ap."
1957-01-13 09:00:00,-18.35555,-70.34028,16.5,180005.0,"Chacalluta, Arica Ap."
1957-01-13 12:00:00,-18.35555,-70.34028,20.6,180005.0,"Chacalluta, Arica Ap."
1957-01-13 15:00:00,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1957-01-13 18:00:00,-18.35555,-70.34028,26.5,180005.0,"Chacalluta, Arica Ap."
1957-01-13 21:00:00,-18.35555,-70.34028,27.3,180005.0,"Chacalluta, Arica Ap."
1957-01-14 06:00:00,-18.35555,-70.34028,17.2,180005.0,"Chacalluta, Arica Ap."
1957-01-14 09:00:00,-18.35555,-70.34028,17.2,180005.0,"Chacalluta, Arica Ap."
1957-01-14 12:00:00,-18.35555,-70.34028,19.8,180005.0,"Chacalluta, Arica Ap."
1957-01-14 15:00:00,-18.35555,-70.34028,25.6,180005.0,"Chacalluta, Arica Ap."
1957-01-14 18:00:00,-18.35555,-70.34028,27.3,180005.0,"Chacalluta, Arica Ap."
1957-01-14 21:00:00,-18.35555,-70.34028,29.2,180005.0,"Chacalluta, Arica Ap."
1957-01-15 06:00:00,-18.35555,-70.34028,18.0,180005.0,"Chacalluta, Arica Ap."
1957-01-15 09:00:00,-18.35555,-70.34028,16.5,180005.0,"Chacalluta, Arica Ap."
1957-01-15 12:00:00,-18.35555,-70.34028,21.0,180005.0,"Chacalluta, Arica Ap."
1957-01-15 15:00:00,-18.35555,-70.34028,27.5,180005.0,"Chacalluta, Arica Ap."
1957-01-15 18:00:00,-18.35555,-70.34028,28.8,180005.0,"Chacalluta, Arica Ap."
