time,latitud,longitud,QFE_Valor,CodigoNacional,nombreEstacion
2023-01-03 07:00:00,-18.35555,-70.34028,1009.2,180005.0,"Chacalluta, Arica Ap."
2023-01-03 08:00:00,-18.35555,-70.34028,1008.9,180005.0,"Chacalluta, Arica Ap."
2023-01-03 09:00:00,-18.35555,-70.34028,1009.1,180005.0,"Chacalluta, Arica Ap."
2023-01-03 10:00:00,-18.35555,-70.34028,1009.4,180005.0,"Chacalluta, Arica Ap."
2023-01-03 11:00:00,-18.35555,-70.34028,1010.1,180005.0,"Chacalluta, Arica Ap."
2023-01-03 12:00:00,-18.35555,-70.34028,1010.5,180005.0,"Chacalluta, Arica Ap."
2023-01-03 13:00:00,-18.35555,-70.34028,1010.4,180005.0,"Chacalluta, Arica Ap."
2023-01-03 14:00:00,-18.35555,-70.34028,1010.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 15:00:00,-18.35555,-70.34028,1009.4,180005.0,"Chacalluta, Arica Ap."
2023-01-03 16:00:00,-18.35555,-70.34028,1009.0,180005.0,"Chacalluta, Arica Ap."
2023-01-03 17:00:00,-18.35555,-70.34028,1008.6,180005.0,"Chacalluta, Arica Ap."
2023-01-03 18:00:00,-18.35555,-70.34028,1008.2,180005.0,"Chacalluta, Arica Ap."
2023-01-03 19:00:00,-18.35555,-70.34028,1007.6,180005.0,"Chacalluta, Arica Ap."
2023-01-03 20:00:00,-18.35555,-70.34028,1007.3,180005.0,"Chacalluta, Arica Ap."
2023-01-03 21:00:00,-18.35555,-70.34028,1007.2,180005.0,"Chacalluta, Arica Ap."
2023-01-03 22:00:00,-18.35555,-70.34028,1007.6,180005.0,"Chacalluta, Arica Ap."
2023-01-03 23:00:00,-18.35555,-70.34028,1008.6,180005.0,"Chacalluta, Arica Ap."
2023-01-04 00:00:00,-18.35555,-70.34028,1009.5,180005.0,"Chacalluta, Arica Ap."
2023-01-04 01:00:00,-18.35555,-70.34028,1010.2,180005.0,"Chacalluta, Arica Ap."
2023-01-04 02:00:00,-18.35555,-70.34028,1010.8,180005.0,"Chacalluta, Arica Ap."
2023-01-04 03:00:00,-18.35555,-70.34028,1011.4,180005.0,"Chacalluta, Arica Ap."
2023-01-04 04:00:00,-18.35555,-70.34028,1011.3,180005.0,"Chacalluta, Arica Ap."
2023-01-04 05:00:00,-18.35555,-70.34028,1010.5,180005.0,"Chacalluta, Arica Ap."
2023-01-04 06:00:00,-18.35555,-70.34028,1009.9,180005.0,"Chacalluta, Arica Ap."
2023-01-04 07:00:00,-18.35555,-70.34028,1009.4,180005.0,"Chacalluta, Arica Ap."
2023-01-04 08:00:00,-18.35555,-70.34028,1009.1,180005.0,"Chacalluta, Arica Ap."
2023-01-04 09:00:00,-18.35555,-70.34028,1009.1,180005.0,"Chacalluta, Arica Ap."
2023-01-04 10:00:00,-18.35555,-70.34028,1009.6,180005.0,"Chacalluta, Arica Ap."
2023-01-04 11:00:00,-18.35555,-70.34028,1010.4,180005.0,"Chacalluta, Arica Ap."
2023-01-04 12:00:00,-18.35555,-70.34028,1010.8,180005.0,"Chacalluta, Arica Ap."
