time,latitud,longitud,TnAM,CodigoNacional,nombreEstacion
1953-01-01 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-02 12:00:00,-34.96944,-71.21694,9.7,340031.0,"General Freire, Curicó Ad."
1953-01-03 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-04 12:00:00,-34.96944,-71.21694,6.2,340031.0,"General Freire, Curicó Ad."
1953-01-05 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-06 12:00:00,-34.96944,-71.21694,10.2,340031.0,"General Freire, Curicó Ad."
1953-01-07 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-08 12:00:00,-34.96944,-71.21694,9.2,340031.0,"General Freire, Curicó Ad."
1953-01-09 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-10 12:00:00,-34.96944,-71.21694,7.9,340031.0,"General Freire, Curicó Ad."
1953-01-11 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-12 12:00:00,-34.96944,-71.21694,6.6,340031.0,"General Freire, Curicó Ad."
1953-01-13 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-14 12:00:00,-34.96944,-71.21694,9.8,340031.0,"General Freire, Curicó Ad."
1953-01-15 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-16 12:00:00,-34.96944,-71.21694,11.8,340031.0,"General Freire, Curicó Ad."
1953-01-17 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-18 12:00:00,-34.96944,-71.21694,6.2,340031.0,"General Freire, Curicó Ad."
1953-01-19 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-20 12:00:00,-34.96944,-71.21694,8.5,340031.0,"General Freire, Curicó Ad."
1953-01-21 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-22 12:00:00,-34.96944,-71.21694,5.9,340031.0,"General Freire, Curicó Ad."
1953-01-23 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-24 12:00:00,-34.96944,-71.21694,8.7,340031.0,"General Freire, Curicó Ad."
1953-01-25 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-26 12:00:00,-34.96944,-71.21694,8.0,340031.0,"General Freire, Curicó Ad."
1953-01-27 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-28 12:00:00,-34.96944,-71.21694,8.7,340031.0,"General Freire, Curicó Ad."
1953-01-29 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-01-30 12:00:00,-34.96944,-71.21694,8.6,340031.0,"General Freire, Curicó Ad."
1953-01-31 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-01 12:00:00,-34.96944,-71.21694,7.6,340031.0,"General Freire, Curicó Ad."
1953-02-02 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-03 12:00:00,-34.96944,-71.21694,9.0,340031.0,"General Freire, Curicó Ad."
1953-02-04 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-05 12:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1953-02-06 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-07 12:00:00,-34.96944,-71.21694,8.2,340031.0,"General Freire, Curicó Ad."
1953-02-08 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-09 12:00:00,-34.96944,-71.21694,5.7,340031.0,"General Freire, Curicó Ad."
1953-02-10 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-11 12:00:00,-34.96944,-71.21694,10.2,340031.0,"General Freire, Curicó Ad."
1953-02-12 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-13 12:00:00,-34.96944,-71.21694,8.3,340031.0,"General Freire, Curicó Ad."
1953-02-14 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-15 12:00:00,-34.96944,-71.21694,7.7,340031.0,"General Freire, Curicó Ad."
1953-02-16 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-17 12:00:00,-34.96944,-71.21694,5.8,340031.0,"General Freire, Curicó Ad."
1953-02-18 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-19 12:00:00,-34.96944,-71.21694,11.4,340031.0,"General Freire, Curicó Ad."
1953-02-20 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-21 12:00:00,-34.96944,-71.21694,8.2,340031.0,"General Freire, Curicó Ad."
1953-02-22 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-23 12:00:00,-34.96944,-71.21694,5.9,340031.0,"General Freire, Curicó Ad."
1953-02-24 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-25 12:00:00,-34.96944,-71.21694,8.5,340031.0,"General Freire, Curicó Ad."
1953-02-26 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-02-27 12:00:00,-34.96944,-71.21694,7.8,340031.0,"General Freire, Curicó Ad."
1953-02-28 12:00:00,-34.96944,-71.21694,,340031.0,"General Freire, Curicó Ad."
1953-03-01 12:00:00,-34.96944,-71.21694,4.5,340031.0,"General Freire, Curicó Ad."
1953-03-02 12:00:00,-34.96944,-71.21694,4.7,340031.0,"General Freire, Curicó Ad."
1953-03-03 12:00:00,-34.96944,-71.21694,5.5,340031.0,"General Freire, Curicó Ad."
1953-03-04 12:00:00,-34.96944,-71.21694,4.4,340031.0,"General Freire, Curicó Ad."
1953-03-05 12:00:00,-34.96944,-71.21694,3.7,340031.0,"General Freire, Curicó Ad."
1953-03-06 12:00:00,-34.96944,-71.21694,7.8,340031.0,"General Freire, Curicó Ad."
1953-03-07 12:00:00,-34.96944,-71.21694,2.1,340031.0,"General Freire, Curicó Ad."
1953-03-08 12:00:00,-34.96944,-71.21694,5.2,340031.0,"General Freire, Curicó Ad."
1953-03-09 12:00:00,-34.96944,-71.21694,6.9,340031.0,"General Freire, Curicó Ad."
1953-03-10 12:00:00,-34.96944,-71.21694,5.5,340031.0,"General Freire, Curicó Ad."
1953-03-11 12:00:00,-34.96944,-71.21694,2.4,340031.0,"General Freire, Curicó Ad."
1953-03-12 12:00:00,-34.96944,-71.21694,1.7,340031.0,"General Freire, Curicó Ad."
1953-03-13 12:00:00,-34.96944,-71.21694,2.6,340031.0,"General Freire, Curicó Ad."
1953-03-14 12:00:00,-34.96944,-71.21694,10.4,340031.0,"General Freire, Curicó Ad."
1953-03-15 12:00:00,-34.96944,-71.21694,9.5,340031.0,"General Freire, Curicó Ad."
1953-03-16 12:00:00,-34.96944,-71.21694,8.5,340031.0,"General Freire, Curicó Ad."
1953-03-17 12:00:00,-34.96944,-71.21694,8.2,340031.0,"General Freire, Curicó Ad."
1953-03-18 12:00:00,-34.96944,-71.21694,4.4,340031.0,"General Freire, Curicó Ad."
1953-03-19 12:00:00,-34.96944,-71.21694,5.0,340031.0,"General Freire, Curicó Ad."
1953-03-20 12:00:00,-34.96944,-71.21694,2.5,340031.0,"General Freire, Curicó Ad."
1953-03-21 12:00:00,-34.96944,-71.21694,3.4,340031.0,"General Freire, Curicó Ad."
1953-03-22 12:00:00,-34.96944,-71.21694,3.8,340031.0,"General Freire, Curicó Ad."
1953-03-23 12:00:00,-34.96944,-71.21694,1.7,340031.0,"General Freire, Curicó Ad."
1953-03-24 12:00:00,-34.96944,-71.21694,1.6,340031.0,"General Freire, Curicó Ad."
1953-03-25 12:00:00,-34.96944,-71.21694,6.2,340031.0,"General Freire, Curicó Ad."
