time,latitud,longitud,TxPM,CodigoNacional,nombreEstacion
1992-02-26 00:00:00,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1992-02-27 00:00:00,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1992-02-28 00:00:00,-18.35555,-70.34028,27.4,180005.0,"Chacalluta, Arica Ap."
1992-02-29 00:00:00,-18.35555,-70.34028,26.6,180005.0,"Chacalluta, Arica Ap."
1992-03-01 00:00:00,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1992-03-02 00:00:00,-18.35555,-70.34028,26.7,180005.0,"Chacalluta, Arica Ap."
1992-03-03 00:00:00,-18.35555,-70.34028,26.6,180005.0,"Chacalluta, Arica Ap."
1992-03-04 00:00:00,-18.35555,-70.34028,26.3,180005.0,"Chacalluta, Arica Ap."
1992-03-05 00:00:00,-18.35555,-70.34028,26.9,180005.0,"Chacalluta, Arica Ap."
1992-03-06 00:00:00,-18.35555,-70.34028,27.8,180005.0,"Chacalluta, Arica Ap."
1992-03-07 00:00:00,-18.35555,-70.34028,26.2,180005.0,"Chacalluta, Arica Ap."
1992-03-08 00:00:00,-18.35555,-70.34028,26.6,180005.0,"Chacalluta, Arica Ap."
1992-03-09 00:00:00,-18.35555,-70.34028,26.8,180005.0,"Chacalluta, Arica Ap."
1992-03-10 00:00:00,-18.35555,-70.34028,27.4,180005.0,"Chacalluta, Arica Ap."
1992-03-11 00:00:00,-18.35555,-70.34028,26.4,180005.0,"Chacalluta, Arica Ap."
1992-03-12 00:00:00,-18.35555,-70.34028,26.4,180005.0,"Chacalluta, Arica Ap."
1992-03-13 00:00:00,-18.35555,-70.34028,26.7,180005.0,"Chacalluta, Arica Ap."
1992-03-14 00:00:00,-18.35555,-70.34028,26.6,180005.0,"Chacalluta, Arica Ap."
1992-03-15 00:00:00,-18.35555,-70.34028,28.2,180005.0,"Chacalluta, Arica Ap."
1992-03-16 00:00:00,-18.35555,-70.34028,27.6,180005.0,"Chacalluta, Arica Ap."
1992-03-17 00:00:00,-18.35555,-70.34028,27.0,180005.0,"Chacalluta, Arica Ap."
1992-03-18 00:00:00,-18.35555,-70.34028,26.8,180005.0,"Chacalluta, Arica Ap."
1992-03-19 00:00:00,-18.35555,-70.34028,27.4,180005.0,"Chacalluta, Arica Ap."
1992-03-20 00:00:00,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1992-03-21 00:00:00,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1992-03-22 00:00:00,-18.35555,-70.34028,27.2,180005.0,"Chacalluta, Arica Ap."
1992-03-23 00:00:00,-18.35555,-70.34028,28.3,180005.0,"Chacalluta, Arica Ap."
1992-03-24 00:00:00,-18.35555,-70.34028,27.1,180005.0,"Chacalluta, Arica Ap."
1992-03-25 00:00:00,-18.35555,-70.34028,25.9,180005.0,"Chacalluta, Arica Ap."
1992-03-26 00:00:00,-18.35555,-70.34028,27.4,180005.0,"Chacalluta, Arica Ap."
1992-03-27 00:00:00,-18.35555,-70.34028,26.8,180005.0,"Chacalluta, Arica Ap."
1992-03-28 00:00:00,-18.35555,-70.34028,28.8,180005.0,"Chacalluta, Arica Ap."
1992-03-29 00:00:00,-18.35555,-70.34028,27.2,180005.0,"Chacalluta, Arica Ap."
1992-03-30 00:00:00,-18.35555,-70.34028,26.9,180005.0,"Chacalluta, Arica Ap."
1992-03-31 00:00:00,-18.35555,-70.34028,27.4,180005.0,"Chacalluta, Arica Ap."
1992-04-01 00:00:00,-18.35555,-70.34028,26.6,180005.0,"Chacalluta, Arica Ap."
1992-04-02 00:00:00,-18.35555,-70.34028,26.8,180005.0,"Chacalluta, Arica Ap."
1992-04-03 00:00:00,-18.35555,-70.34028,26.8,180005.0,"Chacalluta, Arica Ap."
1992-04-04 00:00:00,-18.35555,-70.34028,25.8,180005.0,"Chacalluta, Arica Ap."
1992-04-05 00:00:00,-18.35555,-70.34028,25.9,180005.0,"Chacalluta, Arica Ap."
1992-04-06 00:00:00,-18.35555,-70.34028,26.4,180005.0,"Chacalluta, Arica Ap."
1992-04-07 00:00:00,-18.35555,-70.34028,26.2,180005.0,"Chacalluta, Arica Ap."
1992-04-08 00:00:00,-18.35555,-70.34028,26.1,180005.0,"Chacalluta, Arica Ap."
1992-04-09 00:00:00,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1992-04-10 00:00:00,-18.35555,-70.34028,26.3,180005.0,"Chacalluta, Arica Ap."
1992-04-11 00:00:00,-18.35555,-70.34028,25.4,180005.0,"Chacalluta, Arica Ap."
1992-04-12 00:00:00,-18.35555,-70.34028,24.9,180005.0,"Chacalluta, Arica Ap."
1992-04-13 00:00:00,-18.35555,-70.34028,24.8,180005.0,"Chacalluta, Arica Ap."
1992-04-14 00:00:00,-18.35555,-70.34028,25.0,180005.0,"Chacalluta, Arica Ap."
1992-04-15 00:00:00,-18.35555,-70.34028,27.0,180005.0,"Chacalluta, Arica Ap."
1992-04-16 00:00:00,-18.35555,-70.34028,25.1,180005.0,"Chacalluta, Arica Ap."
1992-04-17 00:00:00,-18.35555,-70.34028,24.2,180005.0,"Chacalluta, Arica Ap."
1992-04-18 00:00:00,-18.35555,-70.34028,26.6,180005.0,"Chacalluta, Arica Ap."
1992-04-19 00:00:00,-18.35555,-70.34028,25.6,180005.0,"Chacalluta, Arica Ap."
1992-04-20 00:00:00,-18.35555,-70.34028,25.2,180005.0,"Chacalluta, Arica Ap."
1992-04-21 00:00:00,-18.35555,-70.34028,26.2,180005.0,"Chacalluta, Arica Ap."
1992-04-22 00:00:00,-18.35555,-70.34028,25.2,180005.0,"Chacalluta, Arica Ap."
1992-04-23 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1992-04-24 00:00:00,-18.35555,-70.34028,23.8,180005.0,"Chacalluta, Arica Ap."
1992-04-25 00:00:00,-18.35555,-70.34028,24.0,180005.0,"Chacalluta, Arica Ap."
1992-04-26 00:00:00,-18.35555,-70.34028,24.8,180005.0,"Chacalluta, Arica Ap."
1992-04-27 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1992-04-28 00:00:00,-18.35555,-70.34028,24.2,180005.0,"Chacalluta, Arica Ap."
1992-04-29 00:00:00,-18.35555,-70.34028,25.6,180005.0,"Chacalluta, Arica Ap."
1992-04-30 00:00:00,-18.35555,-70.34028,24.1,180005.0,"Chacalluta, Arica Ap."
1992-05-01 00:00:00,-18.35555,-70.34028,24.5,180005.0,"Chacalluta, Arica Ap."
1992-05-02 00:00:00,-18.35555,-70.34028,25.0,180005.0,"Chacalluta, Arica Ap."
1992-05-03 00:00:00,-18.35555,-70.34028,25.0,180005.0,"Chacalluta, Arica Ap."
1992-05-04 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1992-05-05 00:00:00,-18.35555,-70.34028,25.1,180005.0,"Chacalluta, Arica Ap."
1992-05-06 00:00:00,-18.35555,-70.34028,24.6,180005.0,"Chacalluta, Arica Ap."
1992-05-07 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1992-05-08 00:00:00,-18.35555,-70.34028,24.1,180005.0,"Chacalluta, Arica Ap."
1992-05-09 00:00:00,-18.35555,-70.34028,24.6,180005.0,"Chacalluta, Arica Ap."
1992-05-10 00:00:00,-18.35555,-70.34028,24.9,180005.0,"Chacalluta, Arica Ap."
1992-05-11 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1992-05-12 00:00:00,-18.35555,-70.34028,23.0,180005.0,"Chacalluta, Arica Ap."
